Food,Serving,Total Weight (gms),Ingredients
Methi Paneer Vegetable,1,335,Paneer-75 gms; Fenugreek leaves-62 gms; Tomato-75 gms; Onion-60 gms; Chillies-7 gms; Cumin powder-4 gms; Turmeric powder-4 gms; Common salt-7 gms; Cooking oil-15 gms; Coriander leaves-15 gms; Chillies-4 gms; Coriander seeds-7 gms
Mushroom Paneer masala,1,489,MUSHROOM-100 gms; Tomato-120 gms; Onion-50 gms; Cumin powder-4 gms; Turmeric powder-4 gms; Common salt-7 gms; Cooking oil-15 gms; Coriander leaves-15 gms; Garlic-2.5 gms; Chillies-7 gms; Coriander powder-7 gms; Paneer-150 gms; Ginger-5 gms
Vegetable idli (Rice idli),3,266,CARROT-30 gms; Peas-30 gms; Capsicum-30 gms; Mustard seeds-4 gms; Gram dal-4 gms; Curry leaves-4 gms; Cooking oil-7 gms; Common salt-7 gms; Rice-150 gms
SAMAKHIA KHEER,2,87,Milk-500 ml; Almond-5 gms; Dates-2 gms; RAISINS-5 gms; Samakhia Rice-75 gms
Makhana Kheer,4,294,Makhana-250 gms; Almond-5 gms; Milk-30 gms; Dates-4 gms; Raisins-5 gms
Reshami Tikka,3,258,Turmeric powder-4 gms; Yoghurt-15 gms; Common salt-15 gms; Black pepper-15 gms; Coriander leaves-4 gms; Lemon-0.5 gms;Yoghurt-200 gms
Reshami Tikka (Paneer),1,378,Capsicum-62 gms; Onion-62 gms; Turmeric powder-4 gms; Common salt-15 gms; Cooking oil-1 ml; Lemon-0.5 gms; Coriander leaves-5 gms; Paneer-150 gms; Ginger powder-15 gms; Garlic powder-15 gms; Garam Masala-15 gms; Red chilli Powder-15 gms; Cumin Powder-15 gms
Risotto recipe (No cheese),1,1039,Onion-62 gms;Garlic-7 gms; MUSHROOM-62 gms; Common salt-15 gms; Black pepper-15 gms;Parsley-15 gms; Vegetable Broth-300 gms; Arborio rice-500 gms; Rosemary-24 gms; thyme-24 gms; Olive oil-15 gms
Besan Milk,2,281,Besan-24 gms; CARDAMOM-7 gms; Milk-250 gms
Curd,2,504,Milk-500 gms; Yoghurt-4 gms
Boondi Raita,1,404,Yoghurt-250 gms; Coriander leaves-4 gms; Boondi-150 gms
Beetroot and Paneer Salad,1,262,BEETROOT-90 gms; CUCUMBER-62 gms; CORIANDER-15 gms; Common salt-15 gms; Black pepper-15 gms; Lemon-15 gms; Paneer-50 gms
Creamy Cucumber Salad,2,88,CUCUMBER-1 gms; Mint leaves-7 gms; Common salt-15 gms; Black pepper-15 gms; Paneer-50 gms
CARROT MILK,1,330,Milk-250 gms; carrot-60 gms; Almond-5 gms; Cardamom-15 gms
BUTTERMILK,1,162,Yoghurt-125 gms; Common salt-15 gms; Mint leaves-3 gms; Cumin seeds-15 gms; Black Pepper-4 gms
MUSHROOM SOUP (WITH ALMOND MILK),1,340,MUSHROOM-125 gms; Common salt-15 gms; Almond Milk-200 gms
Broccoli SOUP (WITH LACTOSE FREE MILK),1,410,Garlic-15 gms; Onion-30 gms; Common salt-15 gms; Broccoli-150 gms; Lactose Free Milk-200 gms
Paneer Capsicum Onion Vegetable,1,607,Paneer-100 gms; Capsicum-200 gms; Onion-100 gms; Tomato-100 gms; Cooking oil-15 gms; Cumin seeds-15 gms; Ginger-2.5 gms;Garlic-2.5 gms; Turmeric powder-7 gms; Chillies-15 gms; Coriander seeds-15 gms; Common salt-15 gms; Coriander leaves-15 gms
Hazelnut Asian Lettuce Wrap (Vegetarian with Paneer),1,336,Paneer-60 gms; carrot-80 gms; Capsicum-80 gms; Water Chestnut-40 gms; soya sauce-15 gms; VINEGAR-15 gms; Cooking oil-15 gms; Ginger-7 gms; Chillies-4 gms; Lettuce leaf-20 gms
GREEN BEANS PANEER VegETABLE,1,482,Beans-250 gms; Paneer-50 gms; Tomato-120 gmsl; Onion-0.5 gms; Garlic-2 gms; Cumin seeds-7 gms; Turmeric powder-7 gms; Chillies-7 gms; Common salt-15 gms; Cooking oil-15 gms; Coriander leaves-4 gms
Dahi Aloo Gravy,1,301,POTATO ; Yoghurt-125 gms; Onion-0.5 gms; Tomato-120 gms)-1 ; Ginger-7 gms; Cumin seeds-7 gms; Turmeric powder-7 gms; Coriander seeds-7 gms; Chillies-4 gms; Common salt-15 gms; Fenugreek leaves-4 gms
Cold Coffee,2,765,Coffee-250 gms; Brown sugar-15 gms; Milk-500 gms
Fruit Raita,1,350,Yoghurt-250 gms; Apple-10 gms; Pomegranate-10 gms; Grapes-50 gms; Mint leaves-10 gms; Common salt-15 gms; Black pepper-5 gms
Grilled Caesar Salad (non Veg),1,122,Chicken-1 gms; Garlic-7 gms; Common salt-15 gms; Black pepper-15 gms; Lettuce Leaf-30 gms; CHEESE-10 gms; Lemon-15 gms; Yoghurt-15 gms; soya sauce-7 gms; Garlic-7 gms
Bathua raita,1,212,Bathua leaves-100 gms; Yoghurt-100 gms; Mint leaves-5 gms; Cumin seeds-7 gms
Sugarcane kheer,4,180,Rice-150 gms; Almond-5.5 gms; Cashew-10 gms; Sugarcane juice-15 gms
Spinach and Walnut Raita,4,326,Cumin seeds-15 gms; Common salt-15 gms; Yoghurt-15 gms; SPINACH-250 gms; Walnut-11 gms; Coriander Powder-5 gms; Red chilli Powder-15 gms
HOMEMADE PANEER,1,60,Milk-15 gms; VINEGAR-45 gms
Herb Paneer,4,129,VINEGAR-45 gms; Capsicum-45 gms; Coriander leaves-7 gms;Mint leaves-7 gms; Black pepper-15 gms; Paneer-10 gms
Paneer Kebab,2,91,Paneer-50 g; POTATO-10 gms; Ginger-7 gms; Mint leaves-4 gms; Coriander leaves-15 gms; Cumin seeds powder-15 gms; Black Pepper Powder-10 gms; Common salt-15 gms; Cooking oil-15 gms
Coffee Espresso (Skimmed milk),1,265,Milk-250 gms; coffee-15 gms
Greek Salad,1,170,CUCUMBER-50 gms; Tomato-50 gms; Capsicum-25 gms; Paneer-20 g; VINEGAR-15 gms; Common salt-15 gms; Black pepper-15 gms
Hariyali Tikka Veg,3,245,MUSHROOM-15 gms; Cauliflower-15 gms; Capsicum-15 gms; Zucchini-15 gms; Paneer-50 gms; Yoghurt-15 gms; Coriander leaves-30 gms; Mint leaves-15 gms; Spinach-30 gms; Lemon-15 gms; Common salt-15 gms; Cooking oil-15 gms
Lactose Free Milk Coffee With Brown Sugar,1,390,Milk-250 gms; Brown sugar-15 gms; Coffee-125 gms
Skimmed Milk Coffee Without Sugar,1,382,Milk-250 gms; Coffee-125 gms; Cinnamon-7 gms
Gujiya,1,231,Atta-100 gms; Ghee-15 gms; COCONUT-50 gms; Jaggery-50 gms; RAISINS-15 gms; Cardamom-1 gms; Sunflower oil-20 ml
Rice kheer,1,195,Milk-20 gms; Rice-150 gms; Jaggery-0.5 gms; CARDAMOM-5 gms; Ghee-15 gms
Paneer Wrap(Cabbage Leaves),1,136,Atta-30 gms; Paneer-10 gms; Cabbage-20 g; carrot-15 gms; Onion-20 gms; Ginger-5 gms; Red chilli Powder-7 gms; Cumin seeds-4 gms; Coriander seeds-15 gms; Common salt-15 gms; Olive oil-15 gms
Paneer Wrap(icebarg Leaves),1,125,Atta-30 gms; Paneer-10 gm; Capsicum-20 gmsr; Onion-15 gms; TOMATO-10 gms; CUCUMBER-15 gms; Cumin seeds-4 gms; CORIANDER leaves-1 gms; Common salt-15 gms; Olive oil-15 gms
Smoothie,1,1194,Apple-200 gms; Pear-178 gms; Banana-101 gms; Grapes-150 gms; Strawberries-75 gms; Blueberries-75 gms; Mint leaves-15 gms; Yoghurt-150 gms; Milk-250 gms
Pumpkin Soup,4,970,PUMPKIN-200 gms; Onion-160 gms; Garlic-15 gms; Olive oil-30 gms; Common salt-15 gms; Broth-300 gms; Milk-250 gms
Tea with Skimmed Milk,1,275,HONEY-10 gms; Milk-250 gms; Tea-15 gms
Paneer Stuffed Roti,2,591,Atta-250 gms; Common salt-1 gms; Olive oil-15 gms; Paneer-150 gms; Onion-125 gms; Chillies-15 gms; Coriander seeds-15 gms; Coriander Powder-5 gms; Turmeric powder-15 gms
Saute Paneer For Fasting,1,179,Paneer-112 gms; Olive oil-15 gms; Cumin seeds-15 gms; Common salt-1 gms; Red chilli Powder-15 gms; Lemon-1 gms Coriander leaves-10 gms;Mint leaves-10 gms
Paneer Stuffed Roti using a combination of Oats Bran and Oats Atta,4,188,Cumin seeds-1 gms; Coriander Powder-5 gms; Red chilli Powder-7 gms; Paneer-150 gms; Coriander leaves-10 gms; GHEE-15 gms
Paneer Vegetable curry,2,825,Paneer-300 gms; Onion-125 gms; Tomato-90 gms; POTATO-150 gms; Capsicum-15 gms; Zucchini-15 gms; Peas-15 gms; Ginger powder-15 gms; Cumin seeds-15 gms; Coriander Powder-5 gms; Garam Masala-15 gms; Red chilli Powder-15 gms; Common salt-15 gms; Olive oil-30 gms; Coriander leaves-5 gms
Garden Cress Seeds Kheer without Sugar,1,577,Garden cress seeds-30 gms; Milk-500 gms; cardamom powder-15 gms; HONEY-15 gms; Ghee-15 gms; Almonds-2.2 gms
Style Beetroot & Paneer Salad,2,860,beetroot-240 gms; Paneer-280 gms; Cucumber-200 gms; Tomato-90 gms; Onion ; Coriander leaves-5 gms; Chat Masala-15 gms; Common salt-15 gms; Lemon-15 gms
Buttermilk(Toned Milk),1,295,Milk-250 gms; Curd-15 gms; Common salt-15 gms; Coriander leaves-15 gms
Banana Smoothie,1,537,Banana-272 gms; Milk-250 gms; HONEY-15 gms
Mango Smoothie,1,537,Mango-272 gms; Milk-250 gms; HONEY-15 gms
Strawberry Smoothie with Skimmed Milk,1,295,strawberry-30 gms; Milk-250 gms; HONEY-15 gms
Apple Smoothie with Skimmed Milk,1,450,Apple-200 gms; Milk-250 gms
Oatmeal Skimmed Milk,1,810,Oats-150 gms; Milk-250 gms; Common salt-15 gms; Banana-118 gms ; Blueberries-250 gms; Almond-3.3 gms; Cinnamon-24 gms
Qunioa Porridge With Double Toned Milk,1,541,Quinoa-150 gms; Milk-250 gms; Nutmeg-15 gms; DATES-15 gms; Almonds-5.5 gms; Walnut-58.5 gms; Banana-101 gms
Oats Smoothie With Sugar Skimmed Milk,1,501,Oats-150 gms; Banana-101 gms; Milk-250 gms
Hung Curd Salad,2,600,Yoghurt-150 gms; Cucumber-200 gms; Tomato-90 gms; Capsicum-100 gms; Onion-15 gms; Coriander leaves-15 gms; Black pepper-15 gms; Common salt-15 gms
Matar Paneer (with low fat),1,985,Paneer-150 gms; Peas-150 gms;Onion-125 gms; Ginger powder-15 gms; Garlic powder-15 gms; Tomato-90 gms; Cumin seeds-225 gms; Coriander Powder-5 gms; Garam Masala-15 gms; Red chilli Powder-15 gms; Common salt-15 gms; Coriander leaves-150 gms; Olive oil-15 gms
Cauliflower Paneer Tikki,2,570,Cauliflower-250 gms; Paneer-120 gms; carrot-150 gms; Coriander leaves-15 gms; Red chilli Powder-15 gms; Coriander Powder-5 gms; Common salt-15 gms
Paneer Tikka in Green Chutney,1,555,Paneer-150 gms; Coriander leaves-150 gms;Mint leaves-150 gms; Chillies-15 gms; Ginger-15 gms;Garlic-15 gms; Cumin seeds-15 gms; Chat Masala-15 gms; Common salt-15 gms; Olive oil-15 gms
Paneer kebab,1,590,Paneer-150 gms; Capsicum-201 gms; Onion-150 gms; Olive oil-15 gms; Cumin Powder-15 gms; Coriander Powder-5 gms; Garam Masala-15 gms; Red chilli Powder-24 gms; Common salt-15 gms
Nuts and seeds raita with skimmed milk curd,1,234,Yoghurt-150 gms; Almond-5.5 gms; Walnut-4 gms; Pumpkin Seeds-15 gms; Sunflower Seeds-15 gms; Cumin seeds-15 gms; Common salt-15 gms; Coriander leaves-15 gms
Low Fat Paneer Tikki,1,810,Paneer-150 gms; Sweet potato-180 gms; Peas-250 gms;Onion-125 gms; Chillies-15 gms; Ginger-15 gms; Red chilli Powder-15 gms; Cumin seeds-15 gms; Garam Masala-15 gms; Common salt-15 gms; Olive oil-15 gms
No Fat Grilled Chicken Breast with Skimmed Milk Curd,1,567,Chicken-172 gms; Yoghurt-300 gms; Ginger powder-15 gms; Garlic powder-15 gms; Turmeric powder-15 gms; Cumin seeds-15 gms; Coriander Powder-5 gms; Red chilli Powder-15 gms; Common salt-15 gms
Coffee (Skimmed milk),1,45,Milk-30 gms; coffee-15 gms
Nimbupani,4,132,Lemon-125 gms; Common salt-7 gms;
Lemon Water,1,5,Lemon-5 gms
Dalcheeni Water,1,5,Cinnamon-5 gms
Besan Cheela,1,151,Onion-15 gms; Tomato-15 gms; Cumin seeds-15 gms; Coriander leaves-15 gms; Common salt-7 gms; Mustard oil-7 gms; Turmeric powder-15 gms; Besan-62 gms
Filter Coffee Without Sugar,2,280,Coffee-30 gms; Milk-250 gms
Black Filter Coffee Without Sugar,2,30,Coffee-30 gms
Low Fat Dal Cheela,1,440,Moong Dal-150 gms;Onion-125 gms; Tomato-90 gms; Chillies-15 gms; Turmeric powder-15 gms; Red chilli Powder-15 gms; Common salt-15 gms; Olive oil-15 gms
Tinda Vegetable-Low Fat),2,705,Tinda-330 gms;Onion-125 gms; Tomato-120 gms; Cumin seeds-15 gms; Turmeric powder-15 gms; Coriander Powder-55 gms; Red chilli Powder-15 gms; Common salt-15 gms; Olive oil-15 gms
Safed Matar Masala-No Oil),2,360,Onion-125 gms; Tomato-90 gms; Chillies-15 gms; Cumin seeds-15 gms; Coriander Powder-55 gms; Turmeric powder-15 gms; Garam Masala-15 gms; Common salt-15 gms; Coriander leaves-15 gms
Green Chutney without any Nuts,1,600,Coriander leaves-150 gms;Mint leaves-250 gms; Chillies-15 gms; Ginger-15 gms; Onion-125 gms; Cumin seeds-15 gms; Lemon-15 gms; Common salt-15 gms
Coffee with Almond Milk,2,512,Almond Milk-250 gms; Brewed Coffee-240 gms; Cinnamon-7 gms; HONEY-15 gms
