Food,Region,Type,Category,Allergy,Serving,Total Weight (gms),Energy(kcal),Proteins,Carbohydrates,Fats,Fiber,Carbon Footprint(kg/CO2),Ingredients
Ragi Roti (50% Ragi & 50% Normal Atta),South,"Lunch,Dinner",Veg,gluten allergy,1 medium,186,597,13,95,17,10,0.15575,"WHEAT, flour(whole) - 15 gms; Ragi flour - 15 gms; Onion Finely Chopped - 1 small onion; Coriander leaves - 1 tbsp; Cumin seeds - 1 gms; Plain Water - 1 small glass; oilve Oil - 1 tbsp"
Shredded Chicken Wrapped (wrap),Continental,"Lunch,Dinner",Non-veg,no-allergies,1 medium,650,959,75,65,45,16,1.605,Baked Chicken Breast - 1 large piece; chopped tomato - 2 small tomato; Onion Finely Chopped - 1 small onion; Mexican Avacado Dip - 1 small bowl; Whole Wheat Tortilla - 1 tortilla; oilve Oil - 1 tbsp
Gravy tofu,North,"Lunch,Dinner",Vegan,soy allergy,1 medium katori,592,503,18,22,35,7,1.57565,"Common salt - 1 tbsp; Pepper, black - 1 tbsp; COOKING OIL (Gnut,ging,palm,must,coconut - 2 tbsp; Onion, small - 10 gms; Garlic, small clove - 2 gms; Ginger, fresh - 5 gms; Capsicum, green - 100 gms; MUSHROOM - 1 cup; SOYA SAUCE - 1 tbsp; Tofu - 1 small bowl"
Masala Tofu,North,"Lunch,Dinner",Vegan,soy allergy,1 medium katori,317,146,10,15,4,5,0.6667,"Common salt - 1 tbsp; Onion, small - 1 gms; Garlic, small clove - 2 gms; Ginger, fresh - 7 gms; Tomato, ripe, local - 80 gms; CORIANDER - 1 tbsp; TURMERIC - 0.5 tbsp; Coriander leaves - 5 gms; Tofu - 1 small bowl"
Masoor Dal,North,"Lunch,Dinner",Veg,no-allergies,5 medium katori,679,217,11,31,4,7,0.4182,"Red gram, dal - 1 cup; ONION, big - 1 medium; Tomato, ripe, local - 2 gms; Garlic, small clove - 6 gms; Ginger, fresh - 1 slice; Chillies, green-2 - 2 gms; Turmeric powder - 0.5 tbsp; Cumin seeds - 1.5 tbsp; Common salt - 5 gms; COOKING OIL (Gnut,ging,palm,must,coconut - 15 gms; Coriander seeds - 1 gms; CHILLIES, dry - 1.5 gms"
Matar Paneer,North,"Lunch,Dinner",Veg,dairy allergy,1 medium katori,595,631,33,42,35,7,1.689,"Paneer - 0.5 cup; PEAS green - 1 small bowl; Tomato, ripe, local - 0.5 small bowl; Onion, big - 0.5 small bowl; Garlic, small clove - 2 gms; Ginger, fresh - 1 slice; Chillies, green-3 - 3 gms; CURDS (cow milk) - 0.5 small bowl; Cumin seeds - 1.5 gms; Turmeric powder - 2 gms; COOKING OIL (Gnut,ging,palm,must,coconut - 1 tbsp; Common salt - 1 tbsp; Coriander leaves - 4 gms"
Palak Paneer,North,"Lunch,Dinner",Veg,dairy allergy,1 medium katori,990,893,52,57,49,20,2.2817,"Paneer - 200 gms; Spinach - 400 gms; Onion, big - 150 gms; Tomato, ripe, local - 200 gms; Garlic, small clove - 1 gms; Chillies, green-2 - 2 gms; Cumin seeds - 1.5 gms; Turmeric powder - 2 gms; COOKING OIL (Gnut,ging,palm,must,coconut - 1 tbsp; Common salt - 1 tbsp"
Palak Mushroom,North,"Lunch,Dinner",Veg,dairy allergy,1 medium katori,562,811,47,44,48,7,2.4288,"Paneer - 200 gms; MUSHROOM - 200 gms; Onion, big - 1 gms; Tomato, ripe, local - 2 gms; Garlic, small clove - 1 slice; Chillies, green-2 - 2 gms; Cumin seeds - 1.5 gms; Turmeric powder - 2 gms; COOKING OIL (Gnut,ging,palm,must,coconut - 15 gms; Common salt - 1 tbsp"
Mattra,North,"Lunch,Dinner,Breakfast",Veg,no-allergies,1 medium katori,297,305,14,16,18,21,0.4689,"Onion, big - 1 gms; Tomato, ripe, local - 2 gms; Garlic, small clove - 2 gms; Ginger, fresh - 1 slice; Chillies, green-3 - 3 gms; Cumin seeds - 0.5 tbsp; Turmeric powder - 0.5 tbsp; COOKING OIL (Gnut,ging,palm,must,coconut - 1 tbsp; Common salt - 1 tbsp; Coriander leaves - 3 gms"
Pineapple Raita,"North,South,East,West","Lunch,Dinner",Veg,dairy allergy,10 small katori,2065,22,1,3,1,0,1.891,CURDS (cow milk) - 1 cup; Coriander leaves - 10 gms; Mint leaves - 5 gms; Common salt - 1 pinch; Pineapple - 2 medium slice
Strawberry Yogurt,Continental,"Lunch,Dinner",Veg,dairy allergy,1 small katori,375,144,7,12,8,2,0.73125,CURDS (cow milk) - 1 cup; Strawberry - 0.5 cup
Vegetable Raita,"North,South,East,West","Lunch,Dinner",Veg,dairy allergy,1 small katori,510,207,9,23,8,3,0.7115,"CURDS (cow milk) - 1 cup; CUCUMBER - 80 gms; CARROT - 80 gms; Onion, small - 50 gms; Coriander leaves - 30 gms; Mint leaves - 5 gms; Common salt - 1 tbsp"
Garlic and Tomato Salad,Continental,"Lunch,Dinner",Veg,garlic allergy,1 medium bowl,241,69,4,9,1,5,0.204,"Tomato, ripe, local - 200 gms; LETTUCE - 100 gms; Garlic, small clove - 5 gms; Common salt - 1 tbsp; Pepper, black - 1 gms"
Apple and Sprouts Salad,Continental,"Lunch,Dinner",Veg,no-allergies,1 medium bowl,424,150,6,24,4,7,0.2225,"Apple, small - 4 small katori; Lemon, juice - 1 tbsp; Common salt - 1 tbsp; Pepper, black - 1 tbsp; Moong Sprouts - 1 small bowl; Lettuce - 2 large leaf; Walnut - 1 pieces"
Caesar Salad,Continental,"Lunch,Dinner",Veg,no-allergies,1 medium bowl,145,116,6,12,5,4,0.0905,"LETTUCE - 100 gms; Lemon, juice - 5 gms; Garlic, small clove - 1 small; HONEY - 5 gms; Common salt - 1 tbsp; Pepper, black - 1 tbsp; Caesar Salad - 0.5 small bowl"
Steam Vegetable Salad,Continental,"Lunch,Dinner",Vegan,nut allergy,1 medium bowl,577,88,3,14,0,5,0.4714,"CARROT - 1 small; Lemon, juice - 1 tbsp; Zucchini, yellow - 1 small; Capsicum, green - 1 small; Onion, small - 1 small; CUMIN SEEDS - 1 tbsp; Turmeric powder - 0.5 tbsp; Chili Powder - 0.5 tbsp; Coriander Powder - 0.5 tbsp; Coriander leaves - 1 gms"
TOMATO & CUCUMBER SALAD,Continental,"Lunch,Dinner",Veg,no-allergies,1 small bowl,402,232,11,12,16,5,0.40025,"Tomato, ripe, local - 2 gms; CUCUMBER - 1 gms; LETTUCE TREE LEAVES, mature - 2 gms; PUMPKIN SEED - 1 tbsp; Sunflower seeds - 1 tbsp; Lemon, juice - 1 tbsp; Common salt - 1 tbsp"
POTATO SALAD,Continental,"Lunch,Dinner",Veg,no-allergies,1 small bowl,492,994,45,141,25,84,1.01285,"POTATO - 2 gms; Rice flakes - 1 tbsp; PUMPKIN SEED - 1 tbsp; Sunflower seeds - 1 tbsp; Common salt - 1 tbsp; Curd - 1 small bowl; Pepper, black - 1 cup; Red chilli Power - 1 tbsp; ONION, small - 1 tbsp; Garlic paste - 1 tbsp"
Avocado Salad,Continental,"Lunch,Dinner,Breakfast",Veg,no-allergies,1 small bowl,485,492,15,15,42,15,0.59225,"Tomato, ripe, local - 2 medium; CUCUMBER - 1 medium; LETTUCE TREE LEAVES, mature - 2 large; Avocado fruit - 1 medium; PUMPKIN SEED - 1 tbsp; Sunflower seeds - 1 tbsp; Lemon, juice - 1 tbsp; Common salt - 1 tbsp; oilve Oil - 1 tbsp"
FRUIT & NUTS (WALNUT & ALMOND) SALAD,Continental,"Lunch,Dinner,Breakfast",Veg,nut allergy,1 small bowl,292,320,7,45,12,10,0.2132,"Apple, small - 1 medium; Grapes, seeded, round, black - 0.25 cup; Almond - 5 gms; PUMPKIN - 1 tbsp; Sunflower seeds - 1 tbsp; Strawberry - 7 large berry"
Veg& FRUIT SALAD,Continental,"Lunch,Dinner,Breakfast",Veg,no-allergies,1 small bowl,599,476,15,51,23,14,0.46875,"LETTUCE TREE LEAVES, mature - 2 large; Capsicum, green - 1 medium; CARROT - 1 small; CUCUMBER - 1 medium; Apple, big - 1 medium; Almond - 5 gms; PUMPKIN SEED - 1 tbsp; Sunflower seeds - 1 tbsp; Plum - 1 medium; Walnut - 1 piece"
QUINOA SALAD,Continental,"Lunch,Dinner",Veg,no-allergies,1 small bowl,155,244,9,40,3,11,0.1133,"Quinoa - 0.25 cup; CARROT - 1 gms; Zucchini, green - 0.25 cup; CUCUMBER - 0.5 medium; Lemon, juice - 1 tbsp; Common salt - 1 tbsp"
MILLETS SALAD,Continental,"Lunch,Dinner",Veg,no-allergies,4 cup,465,71,2,14,1,1,0.0465,"CARROT - 1 gms; Zucchini, green - 0.25 gms; CUCUMBER - 0.5 medium; Lemon, juice - 1 tbsp; Common salt - 1 tbsp; Cooked Foxtail Millets - 2 small bowl"
CHICKEN SALAD,Continental,"Lunch,Dinner",Non-veg,dairy allergy,1 small bowl,555,705,88,7,36,4,1.6615,"Common salt - 1 tbsp; Chicken, poultry, breast, skinless - 1 cup; Celery stalk - 1 small katori; Onion Finely Chopped - 1 small onion; Pepper, black - 1 tbsp"
CHICKEN SALAD WITH ALMOND HONEY MUSTARD DRESSING,Continental,"Lunch,Dinner",Non-veg,nut allergy,1 small bowl,437,982,112,8,55,2,1.7898,"Common salt - 1 tbsp; CARROT - 0.5 small; Capsicum, green - 20 gms; Capsicum, red - 20 gms; LETTUCE TREE LEAVES, mature - 2 large; Coriander leaves - 0.5 tbsp; Mint leaves - 2.5 gms; Almond - 5 gms; HONEY - 0.5 gms; Mustard seeds - 1 tbsp; Chicken, poultry, breast, skinless - 1 cup; oilve Oil - 1 tbsp; Garlic paste - 1 tbsp"
CHICKEN SALAMI SALAD,Continental,"Lunch,Dinner",Non-veg,pork allergy,1 small bowl,422,578,53,7,37,0,1.7388,"Common salt - 1 tbsp; CARROT - 0.5 small; Capsicum, red - 20 gms; Capsicum, green - 20 gms; LETTUCE TREE LEAVES, mature - 2 large; Lemon, juice - 1 tbsp; Coriander leaves - 0.5 gms; Mint leaves - 0.5 tbsp; Chicken, poultry, breast, skinless - 1 cup; oilve Oil - 1 tbsp; Garlic paste - 1 tbsp"
CHICKEN SAUSAGES SALAD,Continental,"Lunch,Dinner",Non-veg,pork allergy,1 small bowl,424,593,54,10,37,0,1.7416,"Common salt - 1 tbsp; CARROT - 0.5 small; Capsicum, red - 20 gms; Capsicum, green - 20 gms; LETTUCE TREE LEAVES, mature - 2 large; Lemon, juice - 1 tbsp; Coriander leaves - 0.5 tbsp; Mint leaves - 0.5 tbsp; Chicken, poultry, breast, skinless - 1 cup; oilve Oil - 1 tbsp; Garlic paste - 1 tbsp"
Almond Soup,Continental,"Lunch,Dinner",Veg,nut allergy,4 medium bowl,1075,223,8,12,18,6,0.6586,Common salt - 1 tbsp; Almonds - 1 cup; Onion Finely Chopped - 1 small onion; clove garlic - 1 clove; Celery stalk - 1 small katori; Vegetable Broth - 2 large bowl; Dried thyme - 1 tbsp; Parsley - 1 tbsp
MUSHROOM SOUP,Continental,"Lunch,Dinner",Veg,mushroom allergy,1 medium bowl,505,379,15,27,24,0,1.4465,"MUSHROOM - 0.5 cup; Milk, whole, Buffalo - 1 cup; Common salt - 1 tbsp; Plain Water - 0.5 small cup; Tonned Milk - 0.5 small cup; oilve Oil - 1 tbsp"
ALMOND MUSHROOM SOUP,Continental,"Lunch,Dinner",Veg,nut allergy,1 medium bowl,187,192,8,7,15,3,0.5175,"Almond - 10 gms; MUSHROOM - 0.25 cup; Common salt - 1 tbsp; Milk, whole, Cow - 0.25 cup"
BROCCOLI SOUP,Continental,"Lunch,Dinner",Veg,dairy allergy,1 medium bowl,310,297,12,28,16,2,0.7285,"Garlic, small clove - 1 tbsp; Onion, small - 2 tbsp; Milk, whole, Buffalo - 1 cup; Common salt - 1 tbsp; Brocoil Vegetable - 50 g; Plain Water - 0.5 small cup"
Soya Flour Roti (20% soya flour + 80% wheat),North ,"Breakfast,Lunch,Dinner",Veg,gluten allergy,1 medium,515,346,16,57,5,11,0.414,"Wheat flour, atta - 1 cup; Soya flour - 1 Cup; Common salt - 1 tbsp; Plain Water - 1 small glass"
Soya Roti Roll (Broccoil & Tofu),North,"Breakfast,Lunch,Dinner",Veg,soy allergy,1 medium,440,550,36,27,33,12,0.83775,Cumin seeds - 1 tbsp; Turmeric powder - 1 tbsp; Common salt - 1 tbsp; Soya flour - 5 tablespoon; Plain Water - 1 small glass; Brocoil Vegetable - 0.5 cup chopped; Tofu - 1 small bowl; Coriander Powder - 1 tbsp; Garam Masala - 1 tbsp; oilve Oil - 1 tbsp
Soya wheat bran Roti (50% wheat bran & 50% soya flour),North,"Breakfast,Lunch,Dinner",Veg,no-allergies,1 medium,305,503,30,66,12,15,0.1065,Soya flour - 5 tablespoon; Common salt - 1 tbsp; Cumin seeds - 1 tbsp; Turmeric powder - 1 tbsp; Warm Water - 1 small cup; Wheat Flour (Atta) - 4 tbsp
Soya wheat Roti (50% soya atta & 50% wheat atta),North,"Breakfast,Lunch,Dinner",Veg,gluten allergy,1 medium,161,475,29,59,14,14,0.14715,wheat flour - 4 tbsp; Soya flour - 5 tablespoon; Common salt - 0.25 tbsp; Turmeric powder - 0.5 tbsp; Carom(Ajwain) Seeds - 1 tbsp; Plain Water - 1 small glass
Bran Roti (25% wheat bran & 75 % normal atta),North,"Breakfast,Lunch,Dinner",Veg,gluten allergy,10 medium,532,159,6,33,1,2,0.1507,"WHEAT, flour(whole) - 1.5 cup; Wheat Flour (Atta) - 1 small bowl; Plain Water - 1.5 medium glass; Common salt - 0.5 tbsp"
Bran Roti (20% wheat bran & 80% wheat),North,"Breakfast,Lunch,Dinner",Veg,gluten allergy,1 medium,689,407,12,69,10,2,0.6455,"WHEAT, flour(whole) - 1 small katori; Wheat Bran Roti Without Oil - 1 small; Common salt - 1 tbsp; oilve Oil - 1.5 tbsp; Plain Water - 1 small glass"
Risotto With Additional Dressing(Corn),Continental,Dinner,Veg,no-allergies,1 medium,149,83,3,15,0,5,0.148,"Corn, Baby - 1 tbsp; Onion, small - 0.25 cup; Garlic, small clove - 0.5 tbsp; MUSHROOM - 1 tbsp; PEAS green - 1 tbsp; Common salt - 1 tbsp; Pepper, black - 1 tbsp; Parsley - 5 gms"
Smoothie (In Curd),Continental,Breakfast,Veg,dairy allergy,1 glass,439,218,7,14,15,5,0.50965,"Papaya, ripe - 1 small katori; Apple, small - 0.25 cup; ORANGE - 1 small; Sunflower seeds - 1 tbsp; CURDS (cow milk) - 0.5 cup; Chia Seeds - 0.5 tbsp; Almond (Soaked and Peeled) - 5 pieces"
Oats Smoothie,Continental,Breakfast,Veg,nut allergy,1 glass,500,224,9,36,6,5,0.995,Banana - 0.5 small; Oats - 1 small bowl; Almond Milk - 1 small glass
Smoothie (Almond Milk),Continental,Breakfast,Vegan,nut allergy,1 cup,615,192,4,39,5,9,1.1905,Chia Seeds - 1 tbsp; Almond Milk - 0.5 small glass; Pineapple - 1 small slice; Mango - 0.5 small
Smoothie (Soya Milk),Continental,Breakfast,Vegan,soy allergy,1 glass,509,131,5,7,9,3,0.179,"Papaya, raw - 1 small katori; ORANGE - 6 slice; Almond - 4 gms; PUMPKIN SEED - 1 tbsp; Soya Milk - 1 small glass"
Herbal Tea,East,Drinks,Veg,no-allergies,1 cup,24,0,0,0,0,0,0.072,Herbal tea (loose) - 1.5 tbsp; Plain Water - 1 large cup
Masala Tea,North,Drinks,Veg,dairy allergy,2 cup,270,40,4,6,0,1,0.755,"CINNAMOM - 1 small; Cardamom, green - 2 number; Cloves - 2 number; Skimmed Milk - 1 small glass; Ginger, fresh - 1 tsp grated; Tea leaves - 1 tbsp; Plain Water - 2 medium glass"
Tea,North,Drinks,Veg,dairy allergy,1 cup,165,15,1,3,0,1,0.465,"CARDAMOM - 1 small; Tea leaves - 1 tbsp; Plain Water - 1 small cup; SKIMMED MILK, liquid - 1 tbsp"
Haldi Milk,North,Drinks,Veg,dairy allergy,1 glass,132,42,3,7,0,1,0.3745,"Turmeric powder - 0.5 tbsp; SKIMMED MILK, liquid - 0.5 cup"
Coffee Double Expresso (Skimmed milk),Continental,Drinks,Veg,dairy allergy,1 cup,132,40,3,6,0,0,0.4655,"SKIMMED MILK, liquid - 0.5 cup; coffee powder - 0.5 tbsp"
Non-vegSOUP,Continental,"Lunch,Dinner",Non-veg,no-allergies,1 medium bowl,649,470,30,54,12,37,1.20765,"CARROT - 1 small; Onion, small - 1 gms; Garlic, small clove - 1 gms; Ginger, fresh - 0.5 slice; Peas, fresh - 0.5 cup; French beans, country - 0.5 cup; Pepper, black - 0.25 cup; COOKING OIL (Gnut,ging,palm,must,coconut - 1 tbsp; Common salt - 1 tbsp; Coriander leaves - 4 gms; Chicken, poultry, breast, skinless - 1 gms; Cumin seeds - 0.5 tbsp; Coriander seeds - 0.5 tbsp"
Oats Poha,North,Breakfast,Veg,no-allergies,2 small bowl,395,255,9,38,7,8,0.471,"Chillies, green-1 - 1 tbsp; Mustard seeds - 1 tbsp; Cumin seeds - 1 tbsp; Turmeric powder - 1 tbsp; Common salt - 1 tbsp; Coriander leaves - 1 tbsp; Oats - 1 small bowl; Onion Finely Chopped - 1 small onion; Red chilli Power - 1 tbsp; Lemon, juice - 1 tbsp; oilve Oil - 1 tbsp"
Wheat Burger with Oats Tikki & Salad,Continental,"Lunch,Dinner",Veg,gluten allergy,1 medium,585,236,2,43,5,3,0.3908,"POTATO - 1 medium; Onion, small - 1.5 tbsp; Coriander leaves - 0.5 tbsp; Ginger, fresh - 1 tbsp; Chillies, green-1 - 1 gms; CARROT - 0.5 tbsp; Common salt - 2 tbsp; COOKING OIL (Gnut,ging,palm,must,coconut - 1 tbsp; Lettuce - 1 number; CUCUMBER - 0.5 slice; Avocado fruit - 0.5 number; VINEGAR - 0.5 tbsp; Green Chutney - 1 tbsp; chopped tomato - 0.5 small tomato; Onion Finely Chopped - 0.5 small onion"
Chilli Paneer,North,Snacks,Veg,dairy allergy,1 medium,256,254,12,9,17,3,0.19605,"Pepper, black - 1 tbsp; Common salt - 1 tbsp; COOKING OIL (Gnut,ging,palm,must,coconut - 1 tbsp; Garlic, small clove - 1 tbsp; Ginger, fresh - 1 tbsp; Onion, small - 0.25 small bowl; Capsicum, green - 0.25 small katori; Chillies, green-1 - 1 gms; SOYA SAUCE - 1 tbsp; VINEGAR - 1 tbsp; Onion, stalk - 1 gms; Paneer Homemade - 2 Medium cube"
Corn Cutlet,North,Snacks,Veg,dairy allergy,2 number,493,137,3,19,5,2,0.388,"POTATO - 1 small; Chillies, green-1 - 1 tbsp; Coriander leaves - 1 tbsp; Common salt - 1 tbsp; COOKING OIL (Gnut,ging,palm,must,coconut - 1 tbsp; Cumin seeds - 0.25 tbsp; CHILLIES, dry - 0.25 tbsp; Corn Cutlets - 2 small cutlet"
Chilli Paneer & Baby corn,North,Snacks,Veg,dairy allergy,2 small bowl,365,148,5,8,10,4,0.32175,"Corn, Baby - 0.5 small bowl; Pepper, black - 0.5 tbsp; Common salt - 0.5 tbsp; COOKING OIL (Gnut,ging,palm,must,coconut - 2 tbsp; Garlic, small clove - 1 tbsp; Ginger, fresh - 1 tbsp; Chillies, green-1 - 1 tbsp; SOYA SAUCE - 1 tbsp; Onion, stalk - 1 gms; Paneer Homemade - 1.5 Medium cube; Onion Finely Chopped - 0.5 small onion; Green Bell pepper - 0.5 small"
"Chilli Paneer with Salad (Bell peppers, broccoil & Cherry tomatoes)",North,Snacks,Veg,dairy allergy,1 small bowl,392,282,12,16,17,5,1.0491,"Paneer - 0.5 small bowl; Pepper, black - 1 tbsp; Common salt - 1 tbsp; COOKING OIL (Gnut,ging,palm,must,coconut - 2 tbsp; Garlic, small clove - 1 tbsp; Ginger, fresh - 1 tbsp; Onion, small - 1 small; Capsicum, green - 0.5 small bowl; CORIANDER - 0.5 tbsp; Lemon, juice - 1 tbsp; Onion, stalk - 1 tbsp; Broccoil - 0.25 Cup"
Crispy Prawn Rolls,East,Snacks,Non-veg,shellfish allergy,1 small,184,124,10,5,6,1,0.66725,"PRAWN - 0.5 small bowl; Onion, small - 1 tbsp; SOYA SAUCE - 1 tbsp; Common salt - 1 tbsp; Pepper, black - 0.25 tbsp; COOKING OIL (Gnut,ging,palm,must,coconut - 1 tbsp; Lemon, juice - 1 tbsp; GARLIC paste - 1 tbsp; Ginger paste - 1 tbsp; CHILLIES, dry - 1 pinch"
Dal Kebab,North,Snacks,Veg,dairy allergy,3 medium,206,96,4,12,3,2,0.2601,"POTATO - 1 small; Chillies, green-1 - 1 tbsp; Coriander leaves - 0.25 tbsp; Common salt - 0.5 tbsp; COOKING OIL (Gnut,ging,palm,must,coconut - 1 tbsp; Cumin seeds - 0.25 tbsp; Ginger, fresh - 0.5 tbsp; GARLIC, dry - 0.25 tbsp; Besan - 1 small bowl"
Dahi Channa Kebab,North,Snacks,Veg,dairy allergy,1 number,347,417,20,57,12,18,0.4215,"CURDS (cow milk) - 1 tbsp; Tomato, ripe, local - 1 tbsp; Chillies, green-1 - 1 gms; Coriander leaves - 1 tbsp; Common salt - 1 tbsp; COOKING OIL (Gnut,ging,palm,must,coconut - 1 tbsp; Cumin seeds - 0.25 tbsp; Coriander seeds - 0.25 tbsp; Ginger, fresh - 0.25 tbsp; GARLIC, dry - 1.5 gms; Channa Dal - 1 small bowl"
Non-vegPlatter (Chicken),North,"Lunch,Dinner",Non-veg,no-allergies,3 number,701,73,7,5,3,4,0.7068,"Common salt - 1 tbsp; Pepper, black - 1 tbsp; Spinach - 1 cup; Lettuce - 1 cup; CUCUMBER - 0.25 small bowl; VINEGAR - 1 tbsp; Chicken, poultry, breast, skinless - 0.5 small bowl; CHILLIES, dry - 0.5 tbsp; GARLIC, dry - 0.25 tbsp"
Masala omelette,North,Breakfast,Eggetarian,egg allergy,1 medium,381,74,5,1,5,1,0.8948,"Egg, poultry, white, raw - 2 medium; Onion, small - 1 small; Tomato, ripe, local - 1 small; Chillies, green-1 - 1 tbsp; Common salt - 0.5 tbsp; Coriander leaves - 0.25 tbsp; COOKING OIL (Gnut,ging,palm,must,coconut - 1 tbsp"
Multigrain Paratha,North,Breakfast,Veg,no-allergies,1 medium,375,448,16,74,10,7,0.30575,"WHEAT, flour(whole) - 0.25 cup; Common salt - 1 tbsp; COOKING OIL (Gnut,ging,palm,must,coconut - 1 tbsp; Cumin Powder - 0.25 tbsp; Oats Flour - 0.5 1/2 cup; TURMERIC - 0.25 tbsp; Besan - 0.5 small bowl"
Methi Thepla,West,Breakfast,Veg,no-allergies,1 medium,449,931,33,174,10,14,0.2802,"WHEAT, flour(whole) - 1 cup; Fenugreek leaves - 0.5 cup; Turmeric powder - 0.5 tbsp; Common salt - 0.5 tbsp; COOKING OIL (Gnut,ging,palm,must,coconut - 1 tbsp; Red chilli Powder - 1 tbsp; Coriander Powder - 1 tbsp; Cumin Powder - 1 tbsp"
Baba Ganoush with Hummus,Continental,Snacks,Vegan,no-allergies,1 medium,305,243,7,11,17,13,0.2568,"Brinjal-2 - 2 large; Garlic, small clove - 2 gms; Lemon, juice - 2 tbsp; COOKING OIL (Gnut,ging,palm,must,coconut - 1 tbsp; Common salt - 1 tbsp; Pepper, black - 1 tbsp; Parsley - 4 gms; Cumin seeds - 1.5 tbsp"
Banana Bread (egg),Continental,"Breakfast,snacks",Eggetarian,egg allergy,2 slice,116,121,6,18,4,1,0.0837,"BANANA RIPE - 0.5 small bowl; BUTTER - 0.5 tbsp; Egg, poultry, white, raw - 1 large; WHEAT, flour(whole) - 2 tbsp; Common salt - 0.25 tbsp"
Banana Bread (Eggless),Continental,"Breakfast,snacks",Veg,gluten allergy,1 medium,429,1231,44,251,6,7,0.0004,"BANANA RIPE - 3 gms; WHEAT, flour(whole) - 1.5 cup; Common salt - 0.25 tbsp"
Aloo Curry,"North,East,West,South","Lunch,Dinner",Veg,no-allergies,1 small bowl,482,490,8,75,16,9,0.4747,"POTATO - 2 medium; Onion, big - 0.5 small bowl; Tomato, ripe, local - 0.5 small bowl; Chillies, green-1 - 1 gms; Coriander leaves - 1 tbsp; Turmeric powder - 1 tbsp; Fenugreek leaves - 0.5 gms; Common salt - 0.5 tbsp; COOKING OIL (Gnut,ging,palm,must,coconut - 1 tbsp; CHILLIES, dry - 1 tbsp; Coriander seeds - 1 tbsp"
Kale Chips,Continental,Snack,Vegan,no-allergies,3 number,180,39,2,5,2,1,0.1665,"COOKING OIL (Gnut,ging,palm,must,coconut - 1 tbsp; Common salt - 1 tbsp; Chopped kale - 1 small pack"
Jau Wrap,North,"Breakfast,Lunch,Dinner",Veg,no-allergies,1 number,392,591,17,99,12,21,0.395,"Onion, small - 0.25 small bowl; Capsicum, green - 10 gms; CARROT - 10 gms; Chillies, green-1 - 1 gms; Common salt - 0.5 tbsp; COOKING OIL (Gnut,ging,palm,must,coconut - 0.5 tbsp; CABBAGE - 0.25 small bowl; Turmeric powder - 0.5 tbsp; CUMIN SEEDS - 0.5 tbsp; Besan - 2 tbsp; Jau (Barley) flour - 1 small bowl; CORIANDER LEAVES - 0.5 tbsp; Coriander Powder - 0.5 tbsp"
JAWAR WRAP,North,"Breakfast,Lunch,Dinner",Veg,no-allergies,3 number,80,112,3,18,0,3,0.0636,"Onion, small - 1 tbsp; Capsicum, green - 2 gms; CARROT - 1 gms; Chillies, green-1 - 1 gms; Common salt - 1 tbsp; COOKING OIL (Gnut,ging,palm,must,coconut - 0.5 tbsp; Jawar Roti - 1 medium"
Grilled Paneer,North,Snacks,Veg,dairy allergy,4 medium,153,76,4,3,6,0,0.7142,"Paneer - 50 gms; Turmeric powder - 0.25 tbsp; Common salt - 0.5 tbsp; COOKING OIL (Gnut,ging,palm,must,coconut - 1 tbsp; CHILLIES, dry - 0.5 tbsp; Plain Yogurt - 0.5 small cup"
GRILLED PINEAPPLE/ APPLE,Continental,Snacks,Veg,no-allergies,4 number,116,7,0,2,0,0,0.1242,"Pineapple - 0.25 medium slice; HONEY - 1 tbsp; CINNAMOM - 1 tbsp; Common salt - 0.5 tbsp; Ginger, fresh - 0.5 piece"
Pav Bhaji,North,Snacks,Veg,dairy allergy,1 small bowl,1533,548,27,77,11,33,1.4193,"POTATO - 1 small; Capsicum, green - 1 cup; CARROT - 1 cup; Peas, fresh - 1 cup; Cauliflower - 1 cup; Onion, small - 0.25 small bowl; Tomato, ripe, local - 0.25 small bowl; Turmeric powder - 0.5 tbsp; Common salt - 0.5 tbsp; BUTTER - 1 tbsp; COOKING OIL (Gnut,ging,palm,must,coconut - 1 tbsp; Coriander leaves - 4 gms; LEMON - 1 tbsp"
Paneer Tikka Kathi Roll,East,Snacks,Veg,dairy allergy,1 number,565,403,23,57,7,6,1.70105,"Lemon, juice - 0.25 tbsp; Common salt - 0.5 tbsp; Onion, small - 1.5 cup; Capsicum, green - 0.5 cup; LETTUCE TREE LEAVES, mature - 0.5 cup; COOKING OIL (Gnut,ging,palm,must,coconut - 1 tbsp; CURDS (cow milk) - 1 tbsp; CHILLIES, dry - 0.25 tbsp; Homemade skimmed milk paneer - 1 small bowl"
Plain Roti with Veggies,North,"Lunch,Dinner",Veg,gluten allergy,1 medium,443,243,8,37,6,5,0.4812,"WHEAT, flour(whole) - 30 gms; Common salt - 0.5 tbsp; CARROT - 0.5 small bowl; Capsicum, green - 0.5 small bowl; PEAS green - 2 tbsp; Tomato, ripe, local - 0.25 small bowl; Onion, small - 1 gms; Cumin seeds - 0.25 tbsp; Turmeric powder - 0.25 tbsp; COOKING OIL (Gnut,ging,palm,must,coconut - 1 tbsp; Coriander seeds - 0.25 tbsp; CHILLIES, dry - 0.25 tbsp"
